"id","drug_id","synonym"
"1","1","1-Naphthyl isothiocyanate"
"2","1","551-06-4"
"3","1","1-Naphthylisothiocyanate"
"4","1","1-ISOTHIOCYANATONAPHTHALENE"
"5","1","ANIT"
"6","1","Kesscocide"
"7","1","alpha-Naphthyl isothiocyanate"
"8","1","Naphthalene, 1-isothiocyanato-"
"9","1","Naphthalene, isothiocyanato-"
"10","1","1-Naftylisothiokyanat"
"11","1","alpha-Naphthysothiocyanate"
"12","1","1-Isothiocyanate-naphthalene"
"13","1","NSC 89741"
"14","1","UNII-HG44814A3V"
"15","1","CCRIS 4678"
"16","1","CHEBI:35455"
"17","1","alpha-naphylisothiocyanate"
"18","1","EINECS 208-990-8"
"19","1","1-Isothiocyanatenaphthalene"
"20","1","alpha-Naphthylisothiocyanate"
"21","1",".alpha.-Naphthysothiocyanate"
"22","1","1-isothiocyanato-naphthalene"
"23","1","BRN 0637868"
"24","1","AI3-28260"
"25","1","ANI"
"26","1","JBDOSUUXMYMWQH-UHFFFAOYSA-N"
"27","1","HG44814A3V"
"28","1","naphthalenisothiocyanate"
"29","1","1-Naphthyl isothiocyanate, 98%"
"30","1","Isothiocyanatonaphthalene"
"31","1","EINECS 249-976-1"
"32","1","MFCD00003882"
"33","1","1-naphtylisothiocyanate"
"34","1","a-naphthylisothiocyanate"
"35","1","a-naphthyl isothiocyanate"
"36","1","DSSTox_CID_5703"
"37","1","(1-naphthyl)isothiocyanate"
"38","1","1-naphthyl-iso-thiocyanate"
"39","1","1-naphthalenylisothiocyanate"
"40","1","WLN: L66J BNCS"
"41","1","1-Naphthalene isothiocyanate"
"42","1","DSSTox_RID_77886"
"43","1","DSSTox_GSID_25703"
"44","1","29962-76-3"
"45","1",".alpha.-Naphthylisothiocyanate"
"46","1","SCHEMBL419795"
"47","1","ACMC-1B133"
"48","1","CHEMBL1381098"
"49","1","DTXSID8025703"
"50","1","1-Naphthyl isothiocyanate, 95%"
"51","1","CTK3I9892"
"52","1","ZINC164198"
"53","1","KS-000010PH"
"54","1","NSC89741"
"55","1","Tox21_200329"
"56","1","5478AE"
"57","1","ANW-32243"
"58","1","BBL012567"
"59","1","BDBM50237618"
"60","1","NSC-89741"
"61","1","SBB069535"
"62","1","STK300021"
"63","1","AKOS000212299"
"64","1","LS-1359"
"65","1","MCULE-2765006563"
"66","1","RTR-019445"
"67","1","TRA0021656"
"68","1","VZ21591"
"69","1","NCGC00091213-01"
"70","1","NCGC00091213-02"
"71","1","NCGC00091213-03"
"72","1","NCGC00257883-01"
"73","1","BP-11139"
"74","1","CAS-551-06-4"
"75","1","SC-76935"
"76","1","VS-03391"
"77","1","DB-019293"
"78","1","TR-019445"
"79","1","FT-0632371"
"80","1","I0190"
"81","1","ST45061571"
"82","1","A830490"
"83","1","J-200035"
"84","1","Q4545797"
"85","1","W-203079"
"86","2","phenylbutazone"
"87","2","50-33-9"
"88","2","Butazolidine"
"89","2","Fenilbutazona"
"90","2","Butazolidin"
"91","2","Diphenylbutazone"
"92","2","Phenylbutazonum"
"93","2","Butapirazol"
"94","2","Butapyrazole"
"95","2","Butacote"
"96","2","Butadion"
"97","2","Bute"
"98","2","Alkabutazona"
"99","2","Butapirazole"
"100","2","Chembutazone"
"101","2","Fenibutazona"
"102","2","Fenylbutazon"
"103","2","Intrabutazone"
"104","2","Mephabutazon"
"105","2","Mephabutazone"
"106","2","Praecirheumin"
"107","2","Scanbutazone"
"108","2","Alqoverin"
"109","2","Anpuzone"
"110","2","Anuspiramin"
"111","2","Arthrizon"
"112","2","Artrizin"
"113","2","Artrizone"
"114","2","Artropan"
"115","2","Azobutyl"
"116","2","Bunetzone"
"117","2","Butacompren"
"118","2","Butadiona"
"119","2","Butagesic"
"120","2","Butalgina"
"121","2","Butalidon"
"122","2","Butarecbon"
"123","2","Butartril"
"124","2","Butartrina"
"125","2","Butazina"
"126","2","Butazona"
"127","2","Butidiona"
"128","2","Butylpyrin"
"129","2","Buvetzone"
"130","2","Digibutina"
"131","2","Diossidone"
"132","2","Diphebuzol"
"133","2","Ecobutazone"
"134","2","Eributazone"
"135","2","Febuzina"
"136","2","Fenartil"
"137","2","Fenibutal"
"138","2","Fenibutasan"
"139","2","Fenibutol"
"140","2","Fenilbutina"
"141","2","Fenilbutine"
"142","2","Fenilidina"
"143","2","Fenotone"
"144","2","Intalbut"
"145","2","Intrazone"
"146","2","Ipsoflame"
"147","2","Malgesic"
"148","2","Merizone"
"149","2","Nadazone"
"150","2","Nadozone"
"151","2","Novophenyl"
"152","2","Phebuzin"
"153","2","Phebuzine"
"154","2","Phenbutazol"
"155","2","Phenopyrine"
"156","2","Phenylbutaz"
"157","2","Phenyzone"
"158","2","Pyrabutol"
"159","2","Pyrazolidin"
"160","2","Rectofasa"
"161","2","Reumasyl"
"162","2","Reumazin"
"163","2","Reumazol"
"164","2","Reumuzol"
"165","2","Reupolar"
"166","2","Robizone"
"167","2","Rubatone"
"168","2","Alindor"
"169","2","Anerval"
"170","2","Antadol"
"171","2","Azolid"
"172","2","Benzone"
"173","2","Betazed"
"174","2","Busone"
"175","2","Butaluy"
"176","2","Butone"
"177","2","Diozol"
"178","2","Elmedal"
"179","2","Lingel"
"180","2","Reudox"
"181","2","Reumune"
"182","2","Butoz"
"183","2","Buzon"
"184","2","Kadol"
"185","2","Reudo"
"186","2","Butiwas-Simple"
"187","2","Neo-zoline"
"188","2","Phenyl-Mobuzon"
"189","2","Equi bute"
"190","2","Robizon-V"
"191","2","Phenylbutazon"
"192","2","Butaphen"
"193","2","Equipalazone"
"194","2","Flexazone"
"195","2","Ia-But"
"196","2","Pirarreumol B"
"197","2","Buta phen"
"198","2","Bizolin 200"
"199","2","Fenilbutazon"
"200","2","Phenbutazone"
"201","2","Schemergin"
"202","2","Bizolin"
"203","2","Wescozone"
"204","2","Zolaphen"
"205","2","Azdid"
"206","2","Tazone"
"207","2","Uzone"
"208","2","Exrheudon N"
"209","2","Robizone-V"
"210","2","Phen-Buta-Vet"
"211","2","Butadionum"
"212","2","Schemergen"
"213","2","Shigrodin"
"214","2","Tencodyne"
"215","2","Tevcodyne"
"216","2","Therazone"
"217","2","Todalgil"
"218","2","Zolidinum"
"219","2","Tetnor"
"220","2","Ticinil"
"221","2","B.t.z."
"222","2","esteve"
"223","2","Phenyl butazone"
"224","2","Usaf ge-15"
"225","2","VAC-10"
"226","2","A 7514"
"227","2","DA-192"
"228","2","G 13,871"
"229","2","UNII-GN5P7K3T8S"
"230","2","R-3-ZON"
"231","2","CCRIS 2374"
"232","2","CHEBI:48574"
"233","2","HSDB 3159"
"234","2","NCI-C56531"
"235","2","EINECS 200-029-0"
"236","2","NSC 25134"
"237","2","G 13871"
"238","2","BRN 0290080"
"239","2","GN5P7K3T8S"
"240","2","MLS000069424"
"241","2","VYMDGNCVAMGZFE-UHFFFAOYSA-N"
"242","2","NCI-C55414"
"243","2","MFCD00005500"
"244","2","NCGC00015846-10"
"245","2","NCGC00015846-11"
"246","2","Fenilbutazone"
"247","2","Butatron"
"248","2","SMR000059073"
"249","2","DSSTox_CID_1136"
"250","2","DSSTox_RID_75967"
"251","2","DSSTox_GSID_21136"
"252","2","P1Z"
"253","2","Equiphen"
"254","2","fe nilbutine"
"255","2","butyl pyrin"
"256","2","art rizin"
"257","2","CAS-50-33-9"
"258","2","4297-92-1"
"259","2","component of Azolid-A"
"260","2","SR-01000000004"
"261","2","AZOLID (TN)"
"262","2","B.T.Z"
"263","2","Alkazone"
"264","2","Phenogel"
"265","2","Phen-Buta"
"266","2","Pirarreumol 'B'"
"267","2","1,5-dioxopyrazolidine"
"268","2","Spectrum_001079"
"269","2","4-Butyl-1,5-dione"
"270","2","Phenylbutazone, 99+%"
"271","2","Opera_ID_888"
"272","2","Bute;Butazolidin;Butatron"
"273","2","Spectrum2_001282"
"274","2","Spectrum3_000675"
"275","2","Spectrum4_000477"
"276","2","Spectrum5_001335"
"277","2","Lopac-P-8386"
"278","2","P1686"
"279","2","Epitope ID:124940"
"280","2","P 8386"
"281","2","SCHEMBL3632"
"282","2","Lopac0_000993"
"283","2","Oprea1_416494"
"284","2","BSPBio_002369"
"285","2","KBioGR_000954"
"286","2","KBioSS_001559"
"287","2","KSC269K7B"
"288","2","MLS001148412"
"289","2","MLS002152929"
"290","2","DivK1c_000331"
"291","2","SPECTRUM1500482"
"292","2","SPBio_001283"
"293","2","1,5-dioxo-4-butylpyrazolidine"
"294","2","3, 4-butyl-1,2-diphenyl-"
"295","2","4-Butyl-1,5-dioxopyrazolidine"
"296","2","4-Butyl-1,5-pyrazolidinedione"
"297","2","GTPL7270"
"298","2","1,3-dioxo-4-N-butylpyrazoline"
"299","2","DTXSID9021136"
"300","2","CTK1G9570"
"301","2","HMS501A13"
"302","2","KBio1_000331"
"303","2","KBio2_001559"
"304","2","KBio2_004127"
"305","2","KBio2_006695"
"306","2","KBio3_001589"
"307","2","KS-00000TLZ"
"308","2","NINDS_000331"
"309","2","BCPP000108"
"310","2","HMS1920H06"
"311","2","HMS2090H17"
"312","2","HMS2091P08"
"313","2","HMS2233B13"
"314","2","HMS3263G07"
"315","2","HMS3369P16"
"316","2","HMS3649M17"
"317","2","HMS3651G15"
"318","2","HMS3715E21"
"319","2","LS-71"
"320","2","Pharmakon1600-01500482"
"321","2","BCP02607"
"322","2","HY-B0230"
"323","2","NSC25134"
"324","2","Tox21_110242"
"325","2","Tox21_110243"
"326","2","Tox21_201809"
"327","2","Tox21_302763"
"328","2","Tox21_500993"
"329","2","ABP000789"
"330","2","AC-683"
"331","2","CCG-39220"
"332","2","NSC-25134"
"333","2","NSC757272"
"334","2","s1654"
"335","2","SBB012526"
"336","2","STK388348"
"337","2","AKOS001592731"
"338","2","Tox21_110242_1"
"339","2","ZINC100004227"
"340","2","CS-2180"
"341","2","DB00812"
"342","2","KS-5127"
"343","2","LP00993"
"344","2","MCULE-4303869118"
"345","2","NE30722"
"346","2","NSC-757272"
"347","2","SDCCGSBI-0050966.P005"
"348","2","WLN: T5VNNV EHJ BR& CR& E4"
"349","2","IDI1_000331"
"350","2","NCGC00015846-01"
"351","2","NCGC00015846-02"
"352","2","NCGC00015846-03"
"353","2","NCGC00015846-04"
"354","2","NCGC00015846-05"
"355","2","NCGC00015846-06"
"356","2","NCGC00015846-07"
"357","2","NCGC00015846-08"
"358","2","NCGC00015846-09"
"359","2","NCGC00015846-12"
"360","2","NCGC00015846-13"
"361","2","NCGC00015846-15"
"362","2","NCGC00023855-03"
"363","2","NCGC00023855-04"
"364","2","NCGC00023855-05"
"365","2","NCGC00023855-06"
"366","2","NCGC00023855-07"
"367","2","NCGC00023855-08"
"368","2","NCGC00181112-01"
"369","2","NCGC00256449-01"
"370","2","NCGC00259358-01"
"371","2","NCGC00261678-01"
"372","2","AK542945"
"373","2","SC-25755"
"374","2","ST066897"
"375","2","SBI-0050966.P004"
"376","2","AB2000198"
"377","2","DB-051755"
"378","2","EU-0100993"
"379","2","FT-0603217"
"380","2","SW199456-2"
"381","2","UNM000001255503"
"382","2","C07440"
"383","2","D00510"
"384","2","AB00052071-15"
"385","2","AB00052071-16"
"386","2","AB00052071_17"
"387","2","AB00052071_18"
"388","2","A828072"
"389","2","Q421342"
"390","2","SR-01000000004-2"
"391","2","SR-01000000004-4"
"392","2","SR-01000000004-5"
"393","2","SR-01000000004-9"
"394","2","W-105972"
"395","2","BRD-K10843433-001-12-8"
"396","2","BRD-K10843433-001-20-1"
"397","2","SR-01000000004-13"
"398","2","Z57355370"
"399","3","Rifampicin"
"400","3","rifampin"
"401","3","Rifadin"
"402","3","Rimactane"
"403","3","Rimactan"
"404","3","Rifamycin AMP"
"405","3","13292-46-1"
"406","3","Rifaldazine"
"407","3","Rifaprodin"
"408","3","Riforal"
"409","3","Tubocin"
"410","3","Rifa"
"411","3","Rifampicinum"
"412","3","Archidyn"
"413","3","Rifoldin"
"414","3","Rifoldine"
"415","3","Rimactizid"
"416","3","Rifagen"
"417","3","Rimazid"
"418","3","Rifampicin SV"
"419","3","Arficin"
"420","3","Benemicin"
"421","3","Doloresum"
"422","3","Eremfat"
"423","3","Fenampicin"
"424","3","Rifadine"
"425","3","Rifaldazin"
"426","3","Rifaldin"
"427","3","Rifamor"
"428","3","Rifinah"
"429","3","Rifobac"
"430","3","Rimactazid"
"431","3","Sinerdol"
"432","3","Arzide"
"433","3","Rifcin"
"434","3","Rifam"
"435","3","L-5103 Lepetit"
"436","3","Dione 21-acetate"
"437","3","Rifampicina"
"438","3","Abrifam"
"439","3","CCRIS 551"
"440","3","Rifadin I.V."
"441","3","Rifater"
"442","3","HSDB 3181"
"443","3","UNII-VJT6J7R4TR"
"444","3","BA-41166E"
"445","3","NSC113926"
"446","3","VJT6J7R4TR"
"447","3","NSC-113926"
"448","3","Rifampicine"
"449","3","RFP"
"450","3","CHEBI:28077"
"451","3","L-5103"
"452","3","C43H58N4O12"
"453","3","EINECS 236-312-0"
"454","3","NSC 113926"
"455","3","DSSTox_CID_1244"
"456","3","DSSTox_RID_76035"
"457","3","DSSTox_GSID_21244"
"458","3","RIF"
"459","3","Benemycin"
"460","3","CAS-13292-46-1"
"461","3","rifamcin"
"462","3","JQXXHWHPUNPDRT-WLSIYKJHSA-N"
"463","3","Rifamsolin"
"464","3","Dipicin"
"465","3","Rimycin"
"466","3","Famcin"
"467","3","Rifamicin AMP"
"468","3","Rifadin I.V"
"469","3","Rimactane (TN)"
