"id","gene_id","synonym"
"1","12687","A2MD"
"2","12687","CPAMD5"
"3","12687","FWP007"
"4","12687","S863-7"
"5","11941","AAC1"
"6","11941","MNAT"
"7","11941","NAT-1"
"8","11941","NATI"
"9","9168","AAC2"
"10","9168","NAT-2"
"11","9168","PNAT"
"12","4049","CES5A1"
"13","4049","DAC"
"14","5548","-"
"15","5739","DSPS"
"16","5739","SNAT"
"17","1792","AARS"
"18","1792","CMT2N"
"19","1792","EIEE29"
"20","13665","GABA-AT"
"21","13665","GABAT"
"22","13665","NPD009"
"23","10595","ABC-1"
"24","10595","ABC1"
"25","10595","CERP"
"26","10595","HDLCQTL13"
"27","10595","HDLDT1"
"28","10595","HPALP1"
"29","10595","TGD"
"30","3202","ABC2"
"31","3202","IDPOGSA"
"32","11249","ABC-C"
"33","11249","ABC3"
"34","11249","EST111653"
"35","11249","LBM180"
"36","11249","SMDP3"
"37","5975","ABC7"
"38","5975","ASAT"
"39","5975","Atm1p"
"40","5975","EST140535"
"41","15537","ABC27"
"42","15537","ABC50"
"43","15246","ABC10"
"44","15246","ABCR"
"45","15246","ARMD2"
"46","15246","CORD3"
"47","15246","FFM"
"48","15246","RMP"
"49","15246","RP19"
"50","15246","STGD"
"51","15246","STGD1"
"52","1958","ABL"
"53","1958","BCR-ABL"
"54","1958","CHDSKM"
"55","1958","JTK7"
"56","1958","bcr/abl"
"57","1958","c-ABL"
"58","1958","c-ABL1"
"59","1958","p150"
"60","1958","v-abl"
"61","24","ABP"
"62","24","ABP1"
"63","24","DAO"
"64","24","DAO1"
"65","24","KAO"
"66","7758","ABLL"
"67","7758","ARG"
"68","12573","A3GALNT"
"69","12573","A3GALT1"
"70","12573","GTB"
"71","12573","NAGAT"
"72","9593","MDB"
"73","786","ACAA"
"74","786","PTHIO"
"75","786","THIO"
"76","19617","ACAC"
"77","19617","ACACAD"
"78","19617","ACC"
"79","19617","ACC1"
"80","19617","ACCA"
"81","1276","ACC2"
"82","1276","ACCB"
"83","1276","HACC275"
"84","4134","ACAD4"
"85","4134","LCAD"
"86","4369","ACAD1"
"87","4369","MCAD"
"88","4369","MCADH"
"89","4982","ACAD3"
"90","4982","SCAD"
"91","14691","2-MEBCAD"
"92","14691","ACAD7"
"93","14691","SBCAD"
"94","1142","ACAD6"
"95","1142","LCACD"
"96","1142","VLCAD"
"97","1230","ACAT"
"98","1230","MAT"
"99","1230","T2"
"100","1230","THIL"
"101","4725","-"
"102","3347","ACCN"
"103","3347","ACCN1"
"104","3347","ASIC2a"
"105","3347","BNC1"
"106","3347","BNaC1"
"107","3347","MDEG"
"108","3347","hBNaC1"
"109","3577","ACCN2"
"110","3577","ASIC"
"111","3577","BNaC2"
"112","1625","ACEE"
"113","1625","ARACHE"
"114","1625","N-ACHE"
"115","1625","YT"
"116","6002","ACL"
"117","6002","ATPCL"
"118","6002","CLATP"
"119","4956","ACONS"
"120","4956","HEL60"
"121","4956","IREB1"
"122","4956","IREBP"
"123","4956","IREBP1"
"124","4956","IRP1"
"125","2164","ACONM"
"126","2164","HEL-S-284"
"127","2164","ICRD"
"128","2164","OCA8"
"129","2164","OPA9"
"130","9782","ACOX"
"131","9782","PALMCOX"
"132","9782","SCOX"
"133","7841","HAAP"
"134","7841","LMW-PTP"
"135","7841","LMWPTP"
"136","6433","LAP"
"137","2530","HPAP"
"138","2530","TRACP5a"
"139","2530","TRACP5b"
"140","2530","TRAP"
"141","2530","TrATPase"
"142","6488","D11S4365"
"143","6488","SP-10"
"144","6488","SPACA2"
"145","7834","ACTA"
"146","7834","ASMA"
"147","7834","CFTD"
"148","7834","CFTD1"
"149","7834","CFTDM"
"150","7834","MPFD"
"151","7834","NEM1"
"152","7834","NEM2"
"153","7834","NEM3"
"154","7834","SHPM"
"155","3239","ACTSA"
"156","9531","ACTC"
"157","9531","ASD5"
"158","9531","CMD1R"
"159","9531","CMH11"
"160","9531","LVNC4"
"161","13830","ACT"
"162","13830","ACTG"
"163","13830","DFNA20"
"164","13830","DFNA26"
"165","13830","HEL-176"
"166","10034","ACT"
"167","10034","ACTA3"
"168","10034","ACTE"
"169","10034","ACTL3"
"170","10034","ACTSG"
"171","10034","VSCM"
"172","5823","ACTININ-4"
"173","5823","FSGS"
"174","5823","FSGS1"
"175","6764","ACTL6"
"176","6764","ARPN-BETA"
"177","6764","Arp4"
"178","6764","BAF53A"
"179","6764","INO80K"
"180","1115","BDPLT15"
"181","1316","CMD1AA"
"182","1316","CMH23"
"183","1316","MPD6"
"184","1316","MYOCOZ"
"185","17795","ACTN3D"
"186","4096","ACTRI"
"187","4096","ACVR1A"
"188","4096","ACVRLK2"
"189","4096","ALK2"
"190","4096","FOP"
"191","4096","SKR1"
"192","4096","TSRI"
"193","6587","ACTRIB"
"194","6587","ACVRLK4"
"195","6587","ALK4"
"196","6587","SKR2"
"197","4885","ACTRII"
"198","4885","ACVR2"
"199","4042","ACTRIIB"
"200","4042","ActR-IIB"
"201","4042","HTX4"
"202","7277","ACVRLK1"
"203","7277","ALK-1"
"204","7277","ALK1"
"205","7277","HHT"
"206","7277","HHT2"
"207","7277","ORW2"
"208","7277","SKR3"
"209","7277","TSR-I"
"210","4615","ACYPE"
"211","11791","ACYM"
"212","11791","ACYP"
"213","14848","-"
"214","8724","CD156"
"215","8724","CD156a"
"216","8724","MS2"
"217","7007","AD10"
"218","7007","AD18"
"219","7007","CD156c"
"220","7007","CDw156"
"221","7007","HsT18717"
"222","7007","MADM"
"223","7007","RAK"
"224","7007","kuz"
"225","9703","ADAR1"
"226","9703","AGS6"
"227","9703","DRADA"
"228","9703","DSH"
"229","9703","DSRAD"
"230","9703","G1P1"
"231","9703","IFI-4"
"232","9703","IFI4"
"233","9703","K88DSRBP"
"234","9703","P136"
"235","14960","ADAR2"
"236","14960","DRABA2"
"237","14960","DRADA2"
"238","14960","RED1"
"239","14136","ADAR3"
"240","14136","RED2"
"241","10524","AC1"
"242","10524","DFNB44"
"243","1343","AC2"
"244","1343","HBAC2"
"245","7039","AC-III"
"246","7039","AC3"
"247","7039","BMIQ19"
"248","12268","AC5"
"249","12268","FDFM"
"250","12434","AC6"
"251","12434","LCCS8"
"252","4816","AC7"
"253","9156","AC8"
"254","9156","ADCY3"
"255","9156","HBAC1"
"256","9845","AC9"
"257","9845","ACIX"
"258","7520","PACAP"
"259","1352","PAC1"
"260","1352","PAC1R"
"261","1352","PACAPR"
"262","1352","PACAPRI"
"263","1644","ADDA"
"264","1237","ADDB"
"265","8442","ADDL"
"266","8442","CPSQ3"
"267","8355","ADFP"
"268","8355","ADRP"
"269","14425","ADH1"
"270","14800","ADH2"
"271","14800","HEL-S-117"
"272","15119","ADH-2"
"273","15119","HEL-S-4"
"274","15066","ADH-3"
"275","15066","ADHX"
"276","15066","FALDH"
"277","15066","FDH"
"278","15066","GSH-FDH"
"279","15066","GSNOR"
"280","15066","HEL-S-60p"
"281","12237","ADH-5"
"282","14727","ADH4"
"283","9181","AK"
"284","8464","AM"
"285","8464","PAMP"
"286","10143","RDC7"
"287","11740","ADORA2"
"288","7999","ARH1"
"289","7999","hARH1"
"290","7857","ADPRT"
"291","7857","ADPRT 1"
"292","7857","ADPRT1"
"293","7857","ARTD1"
"294","7857","PARP"
"295","7857","PARP-1"
"296","7857","PPOL"
"297","7857","pADPRT-1"
"298","12048","ADRA1"
"299","12048","ADRA1A"
"300","12048","ADRA1R"
"301","12048","ALPHA1"
"302","12048","DAR"
"303","12048","dJ779E11.2"
"304","11695","ADRA1"
"305","11695","ALPHA1BAR"
"306","4788","ADRA1C"
"307","4788","ADRA1L1"
"308","4788","ALPHA1AAR"
"309","8610","ADRA2"
"310","8610","ADRA2R"
"311","8610","ADRAR"
"312","8610","ALPHA2AAR"
"313","8610","ZNF32"
"314","19469","ADRA2L1"
"315","19469","ADRA2RL1"
"316","19469","ADRARL1"
"317","19469","ALPHA2BAR"
"318","19469","FAME2"
"319","19469","alpha-2BAR"
